Title	Duration	Genre	Release Date	Category	Deaf Actor	Deaf Director	Deaf Writer	Deaf Editor	Language	Country	Sign Language %	Company	Free To Watch	IMDb ID	Synopsis	URL
Blue Rodeo		Drama; Romance	October 20, 1996						English	USA					Maggie Yearwood moves to a new town to be near her son, Peter, who has gone deaf as the result of an accident and is now attending a special school. She moves into a small house next door to Owen Whister and soon falls in love with the cowboy, who harbors a dark secret…	https://deafmovie.org/title/blue-rodeo/
Blue Sky	8 minutes	Short	November 7, 2009	Shorts with Deaf Actors | Leading Roles; Shorts									Free Short		Michael is a young teenager passionate about writing, a passion he carries on almost secretly because of his father. Agnes is deaf, but the words she cannot speak are compensated by her drawings which she hopes will get her to an art school. One day they find each other on top of a brick wall which becomes their sanctuary away from the world. ‘Gray skies are just clouds passing over’	https://deafmovie.org/title/blue-sky/
Blue’s Clues		Comedy; Family; Animation; Musical	September 8, 1996												Blue’s Clues is a show where the two main characters are Blue and Steve (1996-2001), or in later episodes, Joe(2001- ). Blue is a dog who always wants to do something but Steve never knows what. Steve interacts with the viewers through the television and they play Blue’s clues, to see what Blue wants to do.	https://deafmovie.org/title/blues-clues/
Boat			February 1, 2018	Shorts; Shorts with No Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers		Louise Stern	Louise Stern		English	United Kingdom; EUR					A young deaf girl comes to live on a boat owned by a big talker. She makes contact with the people – and the gerbil – which inhabit this world via written notes, gesture, and dance before a small but significant death pushes her to make judgments about these relationships.	https://deafmovie.org/title/boat/
Boléro		Short	May 12, 2009	Shorts with No Deaf Actors | Leading Roles											In a future where telepaths are used by the government to monitor the public and root out insurgents, a mute, sixteen-year-old girl seeks to avenge her father by hunting down and killing the man responsible for his death.	https://deafmovie.org/title/bolero/
Bori	01 hours 50 minutes		October 5, 2018	Movies					Korean Sign Language; English; Korean	South Korea				tt13322018	Bo Ri is the only family member who can hear. She talks with her friends while finding it hard to sign with her family. Wishing to be deaf, she jumps into the sea and loses consciousness. Waking up in the hospital, she pretends she’s deaf.	https://deafmovie.org/title/tt13322018/
Born This Way Presents: Deaf Out Loud		Documentary	September 12, 2018	x Documentaries	Shaylee Mansfield				American Sign Language	USA			Free Documentary		Documentary featuring two Texas School for the Deaf (TSD) families: the Garcia family and the Mansfield family.	https://deafmovie.org/title/born-this-way-presents-deaf-out-loud/
Born Without a Beat: The Journey of a Deaf Raver		Documentary	March 1, 2009	x Documentaries; x Documentaries by Non-Deaf Directors						United Kingdom; EUR			Free Documentary		Lenny, a deaf party animal, searches for the perfect beat. Despite her disability, Lenny loves going clubbing, but has always felt out of place in hearing discos. Now she is traveling to Holland to attend her first ‘deaf rave’, a ground-breaking, multi-sensory music event specially designed for the hard of hearing. By using a vibrating dancefloor, special sign-dancers, and a DJ who mixes aromas, the rave attempts to translate the emotions and feelings behind music to the deaf clubbers. Traveling alone, Lenny must cope with the difficulty of taking a ferry full of grumpy and disconnected passengers in the hope that she can find a place to enjoy the music she has been denied, and the people to share her passion with.	https://deafmovie.org/title/born-without-a-beat-the-journey-of-a-deaf-raver/
Boy Kills World	01 hours 51 minutes	Action; Thriller; Crime	April 26, 2024	Movies with No Deaf Actors | Leading Roles; Movies					English		x Mute (No Language)				A fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination and become an instrument of death.	https://deafmovie.org/title/boy-kills-world/
Brad’s Untitled Restaurant Project	90 minutes	Comedy	February 1, 2014	Shorts by Deaf Directors; Shorts		Jules Dameron				USA					‘Brad’s Untitled…’ is a wild comedy that is really 8 films in one. It all takes place in a restaurant in a twenty-minute real time. However, during each section we see the other films in the background. With a rewind and a time stamp, we see how the background of one film becomes the lead of another over 90 minutes. The style is built by using one main camera and a dozen hidden cameras that creates a truly unique tapestry of visual storytelling. It all ties together when the audience learns that one person set all of this up for a very funny, but cruel practical joke. It was shot in 3 days for $15K, using 5 diverse directors and the actors from PAI Training.	https://deafmovie.org/title/brads-untitled-restaurant-project/
Breaking the silence (orig. title: Piao liang ma ma)	01 hours 30 minutes		February 28, 2001	Movies with No Deaf Actors | Leading Roles; Movies					Mandarin	China				tt0236598	Gong Li stars in this low-key drama about a single mother who will do anything to provide for her son. Sun Liying (Li) struggles to care for her deaf child Zheng Da (Gao Xin) after her taxi driver husband divorces.	https://deafmovie.org/title/tt0236598/
Bridge to Silence	01 hours 40 minutes	Drama; Romance	April 9, 1989	TV Movies; TV Movies with Deaf Actors | Leading Roles	Marlee Matlin				American Sign Language	USA				tt0096981	John and Peg are both deaf and they have a six year old daughter, Lisa. On their way to Peg’s parents they have a car accident and John is killed. Peg has a nervous breakdown and Peg’s mother temporarily takes care of Lisa. But when Peg recovers, her mother won’t let her take care of her daughter and files a lawsuit to become Lisa’s legal guardian.	https://deafmovie.org/title/tt0096981/
Bunyan and Babe	01 hours 24 minutes	Adventure; Comedy; Animation	January 12, 2017						English						Twelve-year-old Travis Barclay and his little sister Whitney are sent begrudgingly on a summer trip to visit their grandparents’ farm in Delbert County. A greedy land developer, Norm Blandsford, has been buying up the little country town, running the hard working residents off their land. After Travis has a run-in with one of Blandsford’s men, he is chased into the forest, where he stumbles upon a magic portal to the hidden world where Paul Bunyan lives. Paul has been in self-imposed exile for one hundred years, ever since the advent of machines made his role in society obsolete, and left him feeling of little value to the new world. Paul, reluctantly, escorts Travis back to the farm. But upon returning, Paul witnesses Blandsford’s sinister plan. Suddenly filled by a long-forgotten sense of purpose, Bunyan and Babe, the blue ox, get wrapped up in a brand new adventure, and together with the help of their new friends, Travis and Whitney, they save the town. Together they learn firsthand that you don’t have to be big to do big things.	https://deafmovie.org/title/bunyan-and-babe/
C.O.D.A.	11 minutes	Comedy; Drama; Short	September 12, 2011	Shorts					British Sign Language	United Kingdom		BSLZone	Free Short		After failing to assert her Deaf identity to her hearing family as a 20-year-old, Jenny resolves to bring up her daughter Annabel as part of the Deaf community.	https://deafmovie.org/title/c-o-d-a/
California School for the Deaf		Documentary	April 2, 2013	x Documentaries by Deaf Directors; x Documentaries		Jules Dameron					50-100% Sign Language Usage				N/A	https://deafmovie.org/title/california-school-for-the-deaf/
Causeway			November 4, 2022	Movies with Deaf Actors | Supporting Roles; Movies	Russell Harvard				American Sign Language; English	USA	0–1% Sign Language Usage				A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home.	https://deafmovie.org/title/causeway/
Celebrating Gallaudet  #OurDeafCommunity		Documentary	October 28, 2019	x Documentaries by Deaf Directors; x Documentaries					American Sign Language	USA	50-100% Sign Language Usage		Free Documentary; Free Documentary DMDb's Pick		Home is where the heart is. And for many community members, Gallaudet University is home.	https://deafmovie.org/title/celebrating-gallaudet-ourdeafcommunity/
Chalk Dust	5 minutes		March 16, 2015	Shorts						Canada	x Misuse Sign Language		Free Short	tt4385256	[Deaf Faker] Through a series of elaborate chalk drawings, a girl who is deaf is able to hear again.	https://deafmovie.org/title/tt4385256/
Champion of the World	22 minutes		July 30, 2012	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Rebecca Zelic	Bim Ajadi			British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage	BSLZone	Free Short	tt2371110	A deaf girl determined to become a champion athlete must battle the temptation to cheat when she gets a set back through chasing a shoplifter.	https://deafmovie.org/title/tt2371110/
